Unnamed: 0,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d,y_pred,y_scores
37,396,WITHDRAWAL,2040.0,2760.0,2,0,-0.35662992040908886
92,173,WITHDRAWAL,6256.0,13356.0,2,0,-0.31097279590718396
118,396,WITHDRAWAL,261.0,261.0,1,0,-0.3504507824428233
150,96,WITHDRAWAL,644.0,2830.0,3,0,-0.3340297523076927
163,173,WITHDRAWAL,6256.0,12576.0,3,0,-0.29309767609512566
175,396,WITHDRAWAL,308.0,5553.0,2,0,-0.37595747467132967
208,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
343,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
353,71,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
386,173,WITHDRAWAL,8600.0,8600.0,1,0,-0.2847103331767664
421,96,WITHDRAWAL,8900.0,14946.0,3,0,-0.30386803178938987
424,173,WITHDRAWAL,12900.0,12900.0,1,0,-0.26544044754384477
462,71,WITHDRAWAL,1602.0,2570.0,2,0,-0.37137451995728377
488,96,WITHDRAWAL,14.6,3314.6,2,0,-0.33298773061736525
527,96,WITHDRAWAL,46.0,46.0,1,0,-0.3627888054636238
629,96,WITHDRAWAL,644.0,30630.0,4,0,-0.20073861270878068
642,396,WITHDRAWAL,1920.0,2249.0,3,0,-0.2856268532527495
734,173,WITHDRAWAL,6256.0,6256.0,1,0,-0.34293744645777535
886,173,WITHDRAWAL,9500.0,9500.0,1,0,-0.2714409490191493
902,173,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
943,71,WITHDRAWAL,22600.0,22614.6,2,0,-0.2505493831883322
1030,71,WITHDRAWAL,15800.0,15800.0,1,0,-0.261547122496239
1087,71,WITHDRAWAL,14.6,1314.6,2,0,-0.31100923838683975
1091,173,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
1106,71,WITHDRAWAL,960.0,960.0,1,0,-0.3375688567085932
1209,396,WITHDRAWAL,261.0,261.0,1,0,-0.3504507824428233
1225,71,WITHDRAWAL,778.0,3348.0,3,0,-0.35606316745999517
1257,96,WITHDRAWAL,908.0,3692.0,3,0,-0.35272587498354707
1265,71,WITHDRAWAL,778.0,3348.0,3,0,-0.35606316745999517
1276,396,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
1309,71,WITHDRAWAL,1602.0,2570.0,2,0,-0.37137451995728377
1314,71,WITHDRAWAL,1011.0,5799.0,5,0,-0.1789116837480289
1327,71,WITHDRAWAL,13100.0,13100.0,1,0,-0.26993434065222666
1456,96,WITHDRAWAL,17400.0,25200.0,2,0,-0.2291551405817167
1457,396,WITHDRAWAL,2040.0,6694.6,3,0,-0.337929862539577
1474,96,WITHDRAWAL,46.0,46.0,1,0,-0.3627888054636238
1533,96,WITHDRAWAL,644.0,2830.0,3,0,-0.3340297523076927
1559,396,WITHDRAWAL,3600.0,3600.0,1,0,-0.2832291991031235
1580,96,WITHDRAWAL,644.0,2830.0,3,0,-0.3340297523076927
1588,396,WITHDRAWAL,16900.0,16968.0,2,0,-0.29771640737296473
1634,96,WITHDRAWAL,908.0,3692.0,3,0,-0.35272587498354707
1665,396,WITHDRAWAL,5245.0,5245.0,1,0,-0.33776135878509705
1696,173,WITHDRAWAL,6256.0,11536.0,3,0,-0.29968482336415725
1751,96,WITHDRAWAL,21000.0,23784.0,3,0,-0.23347469607942195
1785,173,WITHDRAWAL,3400.0,3400.0,1,0,-0.27425408320523015
1824,396,WITHDRAWAL,14.6,4654.6,2,0,-0.3404696266802064
1958,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
1960,396,WITHDRAWAL,14.6,5054.6,3,0,-0.3256542582400379
1993,396,WITHDRAWAL,1440.0,1440.0,1,0,-0.28959634268273915
2030,396,WITHDRAWAL,3120.0,4388.0,3,0,-0.3350228905879398
2035,396,WITHDRAWAL,5245.0,17245.0,2,0,-0.302902043788936
2091,396,WITHDRAWAL,20600.0,22774.6,3,0,-0.24135410043130479
2145,396,WITHDRAWAL,13400.0,13400.0,1,0,-0.2727854806429044
2276,396,WITHDRAWAL,68.0,329.0,2,0,-0.3136026582212878
2304,96,WITHDRAWAL,1800.0,9300.0,2,0,-0.33060665480152485
2309,173,WITHDRAWAL,1428.0,19948.0,6,0,-0.10141114730143652
2311,71,WITHDRAWAL,9300.0,9314.6,2,0,-0.33166857058611277
2367,396,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
2370,173,WITHDRAWAL,3240.0,4440.0,2,0,-0.33979934273710505
2407,396,WITHDRAWAL,308.0,5553.0,2,0,-0.37595747467132967
2432,96,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
2516,96,WITHDRAWAL,46.0,46.0,1,0,-0.3627888054636238
2527,173,WITHDRAWAL,2400.0,2414.6,2,0,-0.36286430978604534
2532,96,WITHDRAWAL,2140.0,13086.0,3,0,-0.2974836920769292
2628,71,WITHDRAWAL,1602.0,4570.0,3,0,-0.33658819984649013
2633,396,WITHDRAWAL,13500.0,13500.0,1,0,-0.27337371244928277
2732,173,WITHDRAWAL,735.0,6991.0,2,0,-0.36340900231358636
2749,96,WITHDRAWAL,14.6,11414.6,3,0,-0.3065443092383667
2765,96,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
2767,173,WITHDRAWAL,5800.0,5800.0,1,0,-0.33380612837436274
2797,96,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
2820,173,WITHDRAWAL,189.0,7180.0,3,0,-0.34564604848799346
2951,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
3013,396,WITHDRAWAL,68.0,329.0,2,0,-0.3136026582212878
3023,396,WITHDRAWAL,261.0,261.0,1,0,-0.3504507824428233
3070,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
3109,71,WITHDRAWAL,17600.0,17600.0,1,0,-0.24645465164415492
3194,96,WITHDRAWAL,2000.0,2000.0,1,0,-0.27529705132607185
3246,173,WITHDRAWAL,1680.0,13608.0,3,0,-0.3015499685247344
3262,96,WITHDRAWAL,908.0,3692.0,3,0,-0.35272587498354707
3286,96,WITHDRAWAL,908.0,3692.0,3,0,-0.35272587498354707
3331,71,WITHDRAWAL,39520.0,39520.0,1,0,-0.09206027292809482
3371,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
3427,396,WITHDRAWAL,840.0,854.6,2,0,-0.3014705573790128
3452,71,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
3462,96,WITHDRAWAL,2140.0,2186.0,2,0,-0.3682638769168609
3474,396,WITHDRAWAL,308.0,5553.0,2,0,-0.37595747467132967
3676,173,WITHDRAWAL,189.0,19154.0,6,0,-0.11039061335676714
3731,71,WITHDRAWAL,18100.0,21600.0,2,0,-0.25600631980852073
3771,396,WITHDRAWAL,261.0,23321.0,3,0,-0.23526083250944996
3846,396,WITHDRAWAL,261.0,261.0,1,0,-0.3504507824428233
3929,96,WITHDRAWAL,14100.0,14100.0,1,0,-0.27175209558949065
3975,96,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
4020,396,WITHDRAWAL,12700.0,12700.0,1,0,-0.26879218898780866
4112,71,WITHDRAWAL,968.0,968.0,1,0,-0.3420660022482979
4124,96,WITHDRAWAL,46.0,46.0,1,0,-0.3627888054636238
4192,96,WITHDRAWAL,27300.0,27314.6,2,0,-0.21089258642752862
4215,396,WITHDRAWAL,22700.0,22700.0,1,0,-0.1672335185457523
4223,173,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
4288,173,WITHDRAWAL,2560.0,2560.0,1,0,-0.27795516498057193
4294,396,WITHDRAWAL,14.6,14.6,1,0,-0.3985051084557338
4296,173,WITHDRAWAL,2400.0,2414.6,2,0,-0.36286430978604534
4311,396,WITHDRAWAL,68.0,329.0,2,0,-0.3136026582212878
4389,96,WITHDRAWAL,908.0,24692.0,4,0,-0.20950875916482292
4414,96,WITHDRAWAL,3300.0,34700.0,2,0,-0.15087670677261222
4435,396,WITHDRAWAL,261.0,261.0,1,0,-0.3504507824428233
4436,71,WITHDRAWAL,1200.0,7119.0,6,0,-0.10904577958747408
4490,173,WITHDRAWAL,8500.0,8500.0,1,0,-0.28272312159659496
4495,71,WITHDRAWAL,1011.0,4359.0,4,0,-0.30724742674052125
4496,71,WITHDRAWAL,1011.0,4359.0,4,0,-0.30724742674052125
4530,396,WITHDRAWAL,5245.0,21245.0,2,0,-0.25816242471917994
4588,173,WITHDRAWAL,2400.0,5400.0,2,0,-0.36875774649361154
