,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
1,444,WITHDRAWAL,500.0,2700.0,2
5,113,WITHDRAWAL,3146.0,3146.0,1
10,409,WITHDRAWAL,14.6,14.6,1
16,297,WITHDRAWAL,8400.0,8414.6,2
20,386,WITHDRAWAL,14.6,14.6,1
24,531,WITHDRAWAL,14.6,14.6,1
31,109,WITHDRAWAL,3700.0,3700.0,1
34,367,WITHDRAWAL,10200.0,10200.0,1
39,264,WITHDRAWAL,3307.0,3307.0,1
42,155,WITHDRAWAL,1080.0,8640.0,4
55,450,WITHDRAWAL,4100.0,4100.0,1
56,407,WITHDRAWAL,10800.0,10800.0,1
60,250,WITHDRAWAL,3066.0,3906.0,2
66,464,WITHDRAWAL,3509.0,3509.0,1
80,155,WITHDRAWAL,14.6,14.6,1
96,531,WITHDRAWAL,2144.0,2444.0,2
100,194,WITHDRAWAL,14.6,5504.6,2
101,486,WITHDRAWAL,1200.0,9500.0,4
108,281,WITHDRAWAL,5578.0,5578.0,1
110,118,WITHDRAWAL,14.6,14.6,1
114,375,WITHDRAWAL,3824.0,3824.0,1
120,261,WITHDRAWAL,371.0,2553.0,2
125,515,WITHDRAWAL,1280.0,3280.0,2
131,171,WITHDRAWAL,3486.0,3486.0,1
165,98,WITHDRAWAL,14.6,3714.6,2
180,333,WITHDRAWAL,72.0,72.0,1
184,204,WITHDRAWAL,14.6,14.6,1
193,486,WITHDRAWAL,500.0,500.0,1
196,166,WITHDRAWAL,14.6,14.6,1
205,359,WITHDRAWAL,14.6,14.6,1
218,24,WITHDRAWAL,221.0,221.0,1
221,24,WITHDRAWAL,221.0,221.0,1
225,313,WITHDRAWAL,2294.0,2294.0,1
229,109,WITHDRAWAL,14.6,14.6,1
243,505,WITHDRAWAL,2203.0,2203.0,1
249,140,WITHDRAWAL,1200.0,1200.0,1
255,77,WITHDRAWAL,8600.0,8600.0,1
287,509,WITHDRAWAL,6400.0,9700.0,2
294,539,WITHDRAWAL,5100.0,5100.0,1
301,386,WITHDRAWAL,14.6,14.6,1
309,88,WITHDRAWAL,210.0,210.0,1
311,14,WITHDRAWAL,14.6,14.6,1
325,323,WITHDRAWAL,3025.0,3025.0,1
328,328,WITHDRAWAL,1145.0,2832.0,3
333,382,WITHDRAWAL,14.6,14.6,1
342,185,WITHDRAWAL,14.6,12414.6,2
348,297,WITHDRAWAL,1350.0,1350.0,1
351,283,WITHDRAWAL,14.6,14.6,1
356,386,WITHDRAWAL,4711.0,4711.0,1
360,513,WITHDRAWAL,600.0,600.0,1
366,12,WITHDRAWAL,400.0,2464.6,3
383,450,WITHDRAWAL,2404.0,2404.0,1
385,223,WITHDRAWAL,2500.0,2500.0,1
404,55,WITHDRAWAL,2160.0,4240.0,4
410,536,WITHDRAWAL,3600.0,3600.0,1
434,134,WITHDRAWAL,14.6,4314.6,2
444,155,WITHDRAWAL,3480.0,6600.0,2
445,302,WITHDRAWAL,3236.0,3236.0,1
447,326,WITHDRAWAL,14.6,14.6,1
454,41,WITHDRAWAL,2400.0,2414.6,2
459,261,WITHDRAWAL,2182.0,2182.0,1
463,41,WITHDRAWAL,14.6,13614.6,2
468,508,WITHDRAWAL,2480.0,2480.0,1
469,479,WITHDRAWAL,180.0,2244.0,2
470,264,WITHDRAWAL,2400.0,5707.0,2
480,24,WITHDRAWAL,14.6,14.6,1
497,513,WITHDRAWAL,14.6,14.6,1
504,382,WITHDRAWAL,27.0,27.0,1
505,129,WITHDRAWAL,2500.0,2514.6,2
521,14,WITHDRAWAL,3629.0,3629.0,1
529,387,WITHDRAWAL,14.6,14.6,1
532,301,WITHDRAWAL,1950.0,1950.0,1
533,531,WITHDRAWAL,390.0,390.0,1
535,134,WITHDRAWAL,2700.0,2700.0,1
549,341,WITHDRAWAL,19300.0,19300.0,1
555,325,WITHDRAWAL,3000.0,3000.0,1
582,264,WITHDRAWAL,14.6,14.6,1
588,410,WITHDRAWAL,3825.0,4775.0,2
591,223,WITHDRAWAL,14.6,14.6,1
594,302,WITHDRAWAL,14.6,2014.6,2
601,91,WITHDRAWAL,32400.0,32400.0,1
628,536,WITHDRAWAL,2000.0,10482.0,4
630,536,WITHDRAWAL,827.0,827.0,1
644,439,WITHDRAWAL,14.6,764.6,2
645,342,WITHDRAWAL,840.0,3172.0,2
666,77,WITHDRAWAL,14.6,14.6,1
675,258,WITHDRAWAL,3737.0,3737.0,1
684,434,WITHDRAWAL,1100.0,1100.0,1
686,483,WITHDRAWAL,750.0,750.0,1
691,105,WITHDRAWAL,3200.0,3200.0,1
702,536,WITHDRAWAL,14.6,14.6,1
705,58,WITHDRAWAL,14.6,14.6,1
707,309,WITHDRAWAL,14.6,4694.6,2
738,508,WITHDRAWAL,2480.0,2480.0,1
739,232,WITHDRAWAL,3643.0,8683.0,2
757,539,WITHDRAWAL,7800.0,7800.0,1
758,315,WITHDRAWAL,1800.0,1800.0,1
770,69,WITHDRAWAL,14.6,14.6,1
776,338,WITHDRAWAL,2252.0,2252.0,1
781,121,WITHDRAWAL,393.0,2116.0,3
798,258,WITHDRAWAL,4100.0,4100.0,1
806,11,WITHDRAWAL,14.6,14.6,1
815,434,WITHDRAWAL,2100.0,2100.0,1
819,375,WITHDRAWAL,1440.0,1440.0,1
821,194,WITHDRAWAL,3700.0,4810.0,2
828,157,WITHDRAWAL,2640.0,6040.0,2
832,536,WITHDRAWAL,14.6,14.6,1
848,205,WITHDRAWAL,14.6,14.6,1
852,250,WITHDRAWAL,3360.0,3360.0,1
853,409,WITHDRAWAL,600.0,7410.0,2
857,49,WITHDRAWAL,3102.0,3102.0,1
881,224,WITHDRAWAL,3503.0,3503.0,1
890,121,WITHDRAWAL,14.6,14.6,1
891,439,WITHDRAWAL,1100.0,1114.6,2
900,204,WITHDRAWAL,1950.0,1950.0,1
901,513,WITHDRAWAL,7908.0,7908.0,1
904,511,WITHDRAWAL,14.6,4214.6,2
908,194,WITHDRAWAL,14.6,3214.6,2
913,296,WITHDRAWAL,2646.0,2646.0,1
923,63,WITHDRAWAL,2237.0,2237.0,1
933,54,WITHDRAWAL,2280.0,2280.0,1
944,199,WITHDRAWAL,1984.0,1984.0,1
951,490,WITHDRAWAL,2042.0,3642.0,2
952,80,WITHDRAWAL,2970.0,6692.0,4
953,433,WITHDRAWAL,8900.0,8900.0,1
955,223,WITHDRAWAL,14.6,2014.6,2
964,88,WITHDRAWAL,2268.0,2268.0,1
966,537,WITHDRAWAL,1848.0,1848.0,1
970,155,WITHDRAWAL,14.6,14.6,1
974,79,WITHDRAWAL,560.0,2460.0,2
977,276,WITHDRAWAL,11000.0,11000.0,1
983,513,WITHDRAWAL,14.6,14.6,1
1002,528,WITHDRAWAL,2916.0,2916.0,1
1008,223,WITHDRAWAL,4400.0,4414.6,2
1010,17,WITHDRAWAL,5500.0,5500.0,1
1015,335,WITHDRAWAL,14.6,14.6,1
1018,531,WITHDRAWAL,2144.0,2144.0,1
1028,515,WITHDRAWAL,14.6,14.6,1
1037,89,WITHDRAWAL,14.6,14.6,1
1045,375,WITHDRAWAL,14.6,14.6,1
1054,281,WITHDRAWAL,5578.0,5578.0,1
1057,55,WITHDRAWAL,14.6,14.6,1
1063,434,WITHDRAWAL,1637.0,7303.0,2
1069,69,WITHDRAWAL,14.6,14.6,1
1074,79,WITHDRAWAL,2788.0,2788.0,1
1088,509,WITHDRAWAL,5900.0,13500.0,2
1094,232,WITHDRAWAL,5040.0,5040.0,1
1096,307,WITHDRAWAL,14.6,14.6,1
1097,434,WITHDRAWAL,14.6,14.6,1
1100,5,WITHDRAWAL,2668.0,2668.0,1
1119,325,WITHDRAWAL,2741.0,2741.0,1
1121,91,WITHDRAWAL,14.6,14.6,1
1128,265,WITHDRAWAL,3920.0,3920.0,1
1134,113,WITHDRAWAL,2400.0,2400.0,1
1138,301,WITHDRAWAL,1950.0,1950.0,1
1140,11,WITHDRAWAL,2132.0,3152.0,3
1147,284,WITHDRAWAL,14.6,14.6,1
1158,444,WITHDRAWAL,3200.0,3214.6,2
1161,45,WITHDRAWAL,10800.0,10800.0,1
1163,63,WITHDRAWAL,2237.0,3437.0,2
1172,375,WITHDRAWAL,3824.0,3824.0,1
1186,129,WITHDRAWAL,14.6,914.6,2
1191,316,WITHDRAWAL,1800.0,1800.0,1
1201,139,WITHDRAWAL,3300.0,8700.0,2
1202,450,WITHDRAWAL,2404.0,2404.0,1
1221,265,WITHDRAWAL,2900.0,2900.0,1
1223,309,WITHDRAWAL,14.6,14.6,1
1231,76,WITHDRAWAL,2800.0,2814.6,2
1234,11,WITHDRAWAL,390.0,390.0,1
1239,387,WITHDRAWAL,6200.0,6200.0,1
1240,232,WITHDRAWAL,3600.0,9480.0,2
1246,326,WITHDRAWAL,14.6,14.6,1
1248,439,WITHDRAWAL,750.0,3150.0,2
1259,406,WITHDRAWAL,1800.0,2064.0,2
1272,515,WITHDRAWAL,14.6,14.6,1
1274,264,WITHDRAWAL,3307.0,8707.0,2
1283,407,WITHDRAWAL,1800.0,1800.0,1
1286,284,WITHDRAWAL,14.6,14.6,1
1297,295,WITHDRAWAL,27680.0,47980.0,2
1299,21,WITHDRAWAL,14.6,14.6,1
1300,406,WITHDRAWAL,264.0,264.0,1
1308,252,WITHDRAWAL,1120.0,1120.0,1
1322,313,WITHDRAWAL,14.6,14.6,1
1342,509,WITHDRAWAL,14.6,4814.6,2
1349,450,WITHDRAWAL,560.0,2964.0,2
1374,223,WITHDRAWAL,2500.0,2500.0,1
1383,261,WITHDRAWAL,2182.0,2182.0,1
1384,3,WITHDRAWAL,1135.0,5835.0,2
1385,531,WITHDRAWAL,14.6,14.6,1
1388,265,WITHDRAWAL,2900.0,2900.0,1
1410,302,WITHDRAWAL,1120.0,2634.6,3
1422,157,WITHDRAWAL,3000.0,3000.0,1
1423,124,WITHDRAWAL,447.0,1418.0,2
1430,240,WITHDRAWAL,2880.0,2894.6,2
1431,49,WITHDRAWAL,3102.0,3102.0,1
1433,11,WITHDRAWAL,14.6,14.6,1
1441,223,WITHDRAWAL,1900.0,1914.6,2
1455,325,WITHDRAWAL,2741.0,2741.0,1
1462,88,WITHDRAWAL,14.6,14.6,1
1508,349,WITHDRAWAL,4660.0,4660.0,1
1527,514,WITHDRAWAL,5760.0,5760.0,1
1530,333,WITHDRAWAL,1634.0,1706.0,2
1542,113,WITHDRAWAL,4100.0,4100.0,1
1543,21,WITHDRAWAL,6276.0,6276.0,1
1546,410,WITHDRAWAL,3825.0,3825.0,1
1556,382,WITHDRAWAL,660.0,660.0,1
1561,476,WITHDRAWAL,100.0,100.0,1
1563,185,WITHDRAWAL,14.6,18914.6,2
1567,69,WITHDRAWAL,14.6,1564.6,2
1571,490,WITHDRAWAL,2042.0,2792.0,2
1572,54,WITHDRAWAL,720.0,3660.0,3
1598,156,WITHDRAWAL,2030.0,2030.0,1
1606,77,WITHDRAWAL,17900.0,17900.0,1
1607,58,WITHDRAWAL,14.6,2874.6,3
1621,313,WITHDRAWAL,14.6,14.6,1
1627,223,WITHDRAWAL,2400.0,2400.0,1
1631,24,WITHDRAWAL,5700.0,5714.6,2
1636,531,WITHDRAWAL,720.0,720.0,1
1638,513,WITHDRAWAL,14.6,14.6,1
1647,383,WITHDRAWAL,2057.0,2057.0,1
1661,3,WITHDRAWAL,14.6,14.6,1
1669,281,WITHDRAWAL,5578.0,9418.0,2
1684,93,WITHDRAWAL,14.6,14.6,1
1691,12,WITHDRAWAL,1680.0,4177.0,3
1692,514,WITHDRAWAL,8900.0,8900.0,1
1694,199,WITHDRAWAL,14.6,14.6,1
1703,350,WITHDRAWAL,14.6,14.6,1
1709,41,WITHDRAWAL,3400.0,8100.0,2
1739,451,WITHDRAWAL,500.0,500.0,1
1743,240,WITHDRAWAL,8400.0,9000.0,2
1757,407,WITHDRAWAL,3600.0,3600.0,1
1758,171,WITHDRAWAL,3486.0,3486.0,1
1764,114,WITHDRAWAL,880.0,2400.0,2
1774,284,WITHDRAWAL,14.6,14.6,1
1776,364,WITHDRAWAL,2221.0,2221.0,1
1783,479,WITHDRAWAL,2064.0,2064.0,1
1786,333,WITHDRAWAL,72.0,852.0,2
1790,79,WITHDRAWAL,14.6,14.6,1
1799,409,WITHDRAWAL,6810.0,7510.0,2
1817,325,WITHDRAWAL,2800.0,2800.0,1
1820,511,WITHDRAWAL,14.6,14.6,1
1826,80,WITHDRAWAL,2252.0,2252.0,1
1834,24,WITHDRAWAL,14.6,14.6,1
1843,359,WITHDRAWAL,3544.0,3544.0,1
1848,252,WITHDRAWAL,600.0,600.0,1
1856,475,WITHDRAWAL,2760.0,2760.0,1
1866,406,WITHDRAWAL,14.6,14.6,1
1872,373,WITHDRAWAL,6452.0,6452.0,1
1875,375,WITHDRAWAL,3824.0,3824.0,1
1881,11,WITHDRAWAL,2132.0,2132.0,1
1884,236,WITHDRAWAL,1300.0,1300.0,1
1901,155,WITHDRAWAL,5280.0,8268.0,2
1915,531,WITHDRAWAL,570.0,570.0,1
1918,98,WITHDRAWAL,1569.0,3918.0,3
1919,434,WITHDRAWAL,1637.0,7303.0,2
1922,113,WITHDRAWAL,2900.0,2900.0,1
1938,229,WITHDRAWAL,2505.0,2505.0,1
1939,114,WITHDRAWAL,1520.0,1520.0,1
1953,283,WITHDRAWAL,14.6,14.6,1
1964,80,WITHDRAWAL,14.6,14.6,1
1965,12,WITHDRAWAL,14.6,14.6,1
1969,433,WITHDRAWAL,1300.0,1300.0,1
1986,76,WITHDRAWAL,4400.0,7214.6,3
1990,89,WITHDRAWAL,4100.0,4100.0,1
1991,5,WITHDRAWAL,2668.0,2668.0,1
1992,514,WITHDRAWAL,10900.0,10900.0,1
2001,91,WITHDRAWAL,100.0,100.0,1
2038,229,WITHDRAWAL,14.6,14.6,1
2052,5,WITHDRAWAL,720.0,2960.0,2
2058,450,WITHDRAWAL,4000.0,6404.0,2
2062,93,WITHDRAWAL,4100.0,4100.0,1
2063,466,WITHDRAWAL,2700.0,2700.0,1
2070,283,WITHDRAWAL,2802.0,2802.0,1
2072,80,WITHDRAWAL,14.6,14.6,1
2080,79,WITHDRAWAL,2788.0,2788.0,1
2081,511,WITHDRAWAL,26800.0,26800.0,1
2082,223,WITHDRAWAL,14.6,6714.6,2
2084,41,WITHDRAWAL,600.0,600.0,1
2096,205,WITHDRAWAL,14.6,14.6,1
2104,224,WITHDRAWAL,1120.0,3870.0,3
2107,250,WITHDRAWAL,14.6,14.6,1
2109,459,WITHDRAWAL,1300.0,1300.0,1
2110,386,WITHDRAWAL,4711.0,19811.0,2
2112,232,WITHDRAWAL,3643.0,3643.0,1
2128,297,WITHDRAWAL,1500.0,2114.6,3
2135,252,WITHDRAWAL,3400.0,3400.0,1
2139,513,WITHDRAWAL,7908.0,7908.0,1
2147,79,WITHDRAWAL,400.0,3188.0,2
2151,178,WITHDRAWAL,780.0,1680.0,3
2158,76,WITHDRAWAL,5208.0,5208.0,1
2160,49,WITHDRAWAL,14.6,14.6,1
2171,359,WITHDRAWAL,3544.0,3544.0,1
2174,53,WITHDRAWAL,14.6,14.6,1
2184,13,WITHDRAWAL,4000.0,4000.0,1
2186,171,WITHDRAWAL,1900.0,1914.6,2
2195,502,WITHDRAWAL,2498.0,2498.0,1
2205,464,WITHDRAWAL,3509.0,3509.0,1
2206,93,WITHDRAWAL,14.6,14.6,1
2218,121,WITHDRAWAL,14.6,14.6,1
2222,515,WITHDRAWAL,2750.0,2750.0,1
2227,511,WITHDRAWAL,3000.0,3000.0,1
2232,325,WITHDRAWAL,14.6,4314.6,2
2262,114,WITHDRAWAL,14.6,14.6,1
2270,264,WITHDRAWAL,2880.0,7147.0,3
2291,398,WITHDRAWAL,14.6,14.6,1
2307,531,WITHDRAWAL,390.0,390.0,1
2317,486,WITHDRAWAL,14.6,12214.6,2
2322,309,WITHDRAWAL,19600.0,19600.0,1
2328,530,WITHDRAWAL,23400.0,23400.0,1
2334,113,WITHDRAWAL,14.6,14.6,1
2335,398,WITHDRAWAL,1702.0,1702.0,1
2342,105,WITHDRAWAL,14.6,14.6,1
2344,301,WITHDRAWAL,1950.0,1950.0,1
2355,295,WITHDRAWAL,14.6,14.6,1
2356,338,WITHDRAWAL,14.6,14.6,1
2362,79,WITHDRAWAL,14.6,14.6,1
2371,409,WITHDRAWAL,6810.0,12610.0,2
2393,402,WITHDRAWAL,2211.0,2211.0,1
2397,13,WITHDRAWAL,14.6,14.6,1
2399,351,WITHDRAWAL,14.6,14.6,1
2405,490,WITHDRAWAL,1320.0,1334.6,2
2414,516,WITHDRAWAL,1120.0,2470.0,2
2433,296,WITHDRAWAL,2646.0,2646.0,1
2434,295,WITHDRAWAL,2900.0,2900.0,1
2440,316,WITHDRAWAL,1400.0,1400.0,1
2441,301,WITHDRAWAL,14.6,14.6,1
2443,442,WITHDRAWAL,2068.0,2068.0,1
2445,38,WITHDRAWAL,30.0,30.0,1
2459,505,WITHDRAWAL,240.0,258.0,2
2464,338,WITHDRAWAL,180.0,180.0,1
2474,479,WITHDRAWAL,2064.0,2064.0,1
2476,252,WITHDRAWAL,1920.0,1920.0,1
2482,409,WITHDRAWAL,6810.0,6810.0,1
2488,514,WITHDRAWAL,14.6,14.6,1
2490,296,WITHDRAWAL,2646.0,2916.0,2
2491,439,WITHDRAWAL,4500.0,4500.0,1
2522,261,WITHDRAWAL,180.0,180.0,1
2534,264,WITHDRAWAL,14.6,14.6,1
2537,513,WITHDRAWAL,7908.0,7908.0,1
2550,98,WITHDRAWAL,1120.0,1869.0,2
2553,53,WITHDRAWAL,2851.0,2851.0,1
2567,301,WITHDRAWAL,600.0,2160.0,2
2571,531,WITHDRAWAL,2144.0,2144.0,1
2580,459,WITHDRAWAL,1700.0,1700.0,1
2585,109,WITHDRAWAL,2100.0,2100.0,1
2617,439,WITHDRAWAL,2450.0,2450.0,1
2620,341,WITHDRAWAL,12300.0,12300.0,1
2622,271,WITHDRAWAL,1535.0,1535.0,1
2637,14,WITHDRAWAL,3629.0,3629.0,1
2641,451,WITHDRAWAL,1000.0,1000.0,1
2642,349,WITHDRAWAL,14.6,14.6,1
2643,359,WITHDRAWAL,3544.0,3544.0,1
2659,205,WITHDRAWAL,4560.0,4560.0,1
2666,12,WITHDRAWAL,3295.0,3295.0,1
2668,171,WITHDRAWAL,800.0,1314.6,3
2670,421,WITHDRAWAL,9200.0,9200.0,1
2678,14,WITHDRAWAL,3629.0,3629.0,1
2679,442,WITHDRAWAL,300.0,300.0,1
2690,283,WITHDRAWAL,2802.0,2802.0,1
2692,302,WITHDRAWAL,1400.0,1400.0,1
2701,20,WITHDRAWAL,14.6,14.6,1
2702,283,WITHDRAWAL,14.6,14.6,1
2707,490,WITHDRAWAL,810.0,2852.0,2
2713,174,WITHDRAWAL,2139.0,3249.0,2
2717,283,WITHDRAWAL,14.6,14.6,1
2725,80,WITHDRAWAL,2252.0,2252.0,1
2727,252,WITHDRAWAL,3000.0,7567.0,3
2728,382,WITHDRAWAL,27.0,27.0,1
2737,215,WITHDRAWAL,14.6,14.6,1
2750,283,WITHDRAWAL,2400.0,2400.0,1
2752,409,WITHDRAWAL,14.6,14.6,1
2772,490,WITHDRAWAL,2042.0,2042.0,1
2775,166,WITHDRAWAL,14.6,14.6,1
2814,516,WITHDRAWAL,6150.0,6150.0,1
2821,469,WITHDRAWAL,2672.0,2672.0,1
2830,41,WITHDRAWAL,11400.0,11400.0,1
2834,54,WITHDRAWAL,900.0,900.0,1
2846,21,WITHDRAWAL,14.6,14.6,1
2848,114,WITHDRAWAL,533.0,533.0,1
2852,69,WITHDRAWAL,9300.0,16000.0,2
2858,252,WITHDRAWAL,1767.0,1767.0,1
2884,281,WITHDRAWAL,14.6,14.6,1
2885,193,WITHDRAWAL,14.6,14.6,1
2895,442,WITHDRAWAL,25200.0,32700.0,2
2896,195,WITHDRAWAL,2000.0,2000.0,1
2897,199,WITHDRAWAL,14.6,14.6,1
2898,313,WITHDRAWAL,390.0,404.6,2
2899,486,WITHDRAWAL,3900.0,3900.0,1
2901,409,WITHDRAWAL,14.6,14.6,1
2909,54,WITHDRAWAL,14.6,14.6,1
2913,185,WITHDRAWAL,16100.0,16100.0,1
2915,301,WITHDRAWAL,14.6,14.6,1
2916,240,WITHDRAWAL,9621.0,9621.0,1
2932,261,WITHDRAWAL,2182.0,2182.0,1
2935,514,WITHDRAWAL,14.6,14.6,1
2950,386,WITHDRAWAL,1560.0,1560.0,1
2952,433,WITHDRAWAL,14.6,14.6,1
2969,505,WITHDRAWAL,2203.0,2203.0,1
2971,283,WITHDRAWAL,14.6,14.6,1
2974,433,WITHDRAWAL,14.6,14.6,1
2980,24,WITHDRAWAL,4800.0,4814.6,2
2998,204,WITHDRAWAL,780.0,780.0,1
3026,328,WITHDRAWAL,1145.0,2432.0,2
3034,13,WITHDRAWAL,6800.0,6800.0,1
3052,80,WITHDRAWAL,2252.0,2252.0,1
3059,185,WITHDRAWAL,14.6,2314.6,2
3061,105,WITHDRAWAL,14400.0,14400.0,1
3068,223,WITHDRAWAL,1300.0,1300.0,1
3069,271,WITHDRAWAL,4000.0,5535.0,2
3102,214,WITHDRAWAL,270.0,270.0,1
3107,313,WITHDRAWAL,14.6,14.6,1
3113,296,WITHDRAWAL,1350.0,1350.0,1
3120,77,WITHDRAWAL,14.6,14.6,1
3121,205,WITHDRAWAL,4297.0,8977.0,2
3148,80,WITHDRAWAL,2252.0,2252.0,1
3172,136,WITHDRAWAL,2200.0,2214.6,2
3174,21,WITHDRAWAL,14.6,14.6,1
3176,444,WITHDRAWAL,4469.0,5069.0,2
3178,79,WITHDRAWAL,2788.0,2788.0,1
3181,20,WITHDRAWAL,14.6,14.6,1
