,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
3,83,WITHDRAWAL,2280.0,2280.0,1
17,354,WITHDRAWAL,4771.0,4771.0,1
21,86,WITHDRAWAL,14.6,14.6,1
23,366,WITHDRAWAL,1914.0,1914.0,1
29,83,WITHDRAWAL,1120.0,1120.0,1
30,50,WITHDRAWAL,14.6,3414.6,2
46,401,WITHDRAWAL,1769.0,1769.0,1
50,39,WITHDRAWAL,145.0,145.0,1
52,279,WITHDRAWAL,630.0,630.0,1
58,97,WITHDRAWAL,15.0,18.0,2
59,50,WITHDRAWAL,1400.0,5700.0,2
63,165,WITHDRAWAL,14.6,5014.6,2
70,230,WITHDRAWAL,14.6,14.6,1
97,39,WITHDRAWAL,800.0,800.0,1
111,366,WITHDRAWAL,3188.0,5938.0,3
112,86,WITHDRAWAL,2160.0,3320.0,2
115,50,WITHDRAWAL,7024.0,7293.0,2
123,27,WITHDRAWAL,700.0,700.0,1
126,259,WITHDRAWAL,1280.0,2280.0,2
155,35,WITHDRAWAL,2000.0,5760.0,3
160,389,WITHDRAWAL,14.6,14.6,1
171,154,WITHDRAWAL,3891.0,10391.0,2
172,401,WITHDRAWAL,3600.0,3600.0,1
173,496,WITHDRAWAL,1200.0,1200.0,1
206,300,WITHDRAWAL,1628.0,1628.0,1
234,473,WITHDRAWAL,14.6,14.6,1
237,35,WITHDRAWAL,1362.0,1362.0,1
241,183,WITHDRAWAL,2880.0,2880.0,1
246,381,WITHDRAWAL,4960.0,4960.0,1
250,401,WITHDRAWAL,1769.0,1769.0,1
251,165,WITHDRAWAL,2560.0,2560.0,1
265,183,WITHDRAWAL,14.6,14.6,1
274,97,WITHDRAWAL,2411.0,12420.0,3
281,467,WITHDRAWAL,2900.0,6800.0,2
299,370,WITHDRAWAL,840.0,840.0,1
300,35,WITHDRAWAL,14950.0,16312.0,2
303,235,WITHDRAWAL,150.0,150.0,1
304,473,WITHDRAWAL,2640.0,6952.0,3
308,381,WITHDRAWAL,7680.0,13380.0,2
317,97,WITHDRAWAL,11100.0,11100.0,1
319,381,WITHDRAWAL,14.6,14.6,1
320,183,WITHDRAWAL,3520.0,3520.0,1
330,154,WITHDRAWAL,4900.0,4914.6,2
335,279,WITHDRAWAL,780.0,780.0,1
338,39,WITHDRAWAL,145.0,145.0,1
345,163,WITHDRAWAL,612.0,3728.0,2
346,35,WITHDRAWAL,5000.0,6362.0,2
372,165,WITHDRAWAL,2240.0,2240.0,1
