,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
0,65,WITHDRAWAL,686.0,686.0,1
6,532,WITHDRAWAL,35000.0,35000.0,1
33,512,WITHDRAWAL,12300.0,12300.0,1
38,414,WITHDRAWAL,14.6,14.6,1
41,491,WITHDRAWAL,9090.0,9090.0,1
51,253,WITHDRAWAL,10100.0,10114.6,2
74,424,WITHDRAWAL,4591.0,4591.0,1
86,159,WITHDRAWAL,8100.0,8100.0,1
91,37,WITHDRAWAL,13100.0,13100.0,1
98,312,WITHDRAWAL,14.6,4814.6,2
99,210,WITHDRAWAL,720.0,2640.0,2
107,10,WITHDRAWAL,9400.0,9400.0,1
119,253,WITHDRAWAL,17600.0,17600.0,1
121,65,WITHDRAWAL,686.0,686.0,1
133,355,WITHDRAWAL,30.0,30.0,1
136,137,WITHDRAWAL,14.6,14.6,1
139,429,WITHDRAWAL,5286.0,5286.0,1
140,56,WITHDRAWAL,14.6,14.6,1
162,458,WITHDRAWAL,1400.0,13200.0,2
183,137,WITHDRAWAL,14.6,14.6,1
186,200,WITHDRAWAL,14.6,14.6,1
187,7,WITHDRAWAL,14.6,14.6,1
195,304,WITHDRAWAL,8400.0,33267.0,3
203,226,WITHDRAWAL,8928.0,8928.0,1
219,56,WITHDRAWAL,14.6,14.6,1
226,65,WITHDRAWAL,14400.0,14400.0,1
230,356,WITHDRAWAL,2000.0,2000.0,1
240,512,WITHDRAWAL,14.6,2614.6,2
244,285,WITHDRAWAL,16600.0,16600.0,1
259,159,WITHDRAWAL,8694.0,8694.0,1
260,420,WITHDRAWAL,7192.0,7192.0,1
262,32,WITHDRAWAL,14.6,14.6,1
263,312,WITHDRAWAL,800.0,800.0,1
269,526,WITHDRAWAL,5074.0,16374.0,3
270,226,WITHDRAWAL,8928.0,8928.0,1
271,487,WITHDRAWAL,10684.0,10684.0,1
278,360,WITHDRAWAL,14.6,14.6,1
279,500,WITHDRAWAL,20500.0,24306.0,3
291,282,WITHDRAWAL,2040.0,2054.6,2
295,10,WITHDRAWAL,10600.0,17633.0,2
298,429,WITHDRAWAL,14.6,14.6,1
312,480,WITHDRAWAL,38560.0,43247.0,2
321,420,WITHDRAWAL,7192.0,7192.0,1
322,480,WITHDRAWAL,1320.0,1320.0,1
329,356,WITHDRAWAL,14.6,14.6,1
363,355,WITHDRAWAL,5012.0,5012.0,1
396,329,WITHDRAWAL,3110.0,3902.0,2
402,412,WITHDRAWAL,8727.0,8727.0,1
406,132,WITHDRAWAL,100.0,100.0,1
432,256,WITHDRAWAL,1200.0,2400.0,2
437,19,WITHDRAWAL,18400.0,20923.2,2
441,184,WITHDRAWAL,23500.0,23500.0,1
456,52,WITHDRAWAL,560.0,560.0,1
465,480,WITHDRAWAL,4687.0,4687.0,1
472,399,WITHDRAWAL,14.6,14.6,1
477,179,WITHDRAWAL,7615.0,45589.0,4
489,95,WITHDRAWAL,2520.0,21760.0,3
503,355,WITHDRAWAL,30.0,30.0,1
512,189,WITHDRAWAL,18200.0,19310.0,3
519,487,WITHDRAWAL,14.6,14.6,1
531,249,WITHDRAWAL,12700.0,12700.0,1
539,131,WITHDRAWAL,14.6,14.6,1
541,491,WITHDRAWAL,9090.0,9090.0,1
550,221,WITHDRAWAL,7896.0,7896.0,1
552,242,WITHDRAWAL,1062.0,1062.0,1
554,108,WITHDRAWAL,10400.0,10400.0,1
558,131,WITHDRAWAL,6904.0,6904.0,1
560,169,WITHDRAWAL,8700.0,13800.0,2
587,532,WITHDRAWAL,37100.0,37100.0,1
589,447,WITHDRAWAL,1680.0,2480.0,2
590,7,WITHDRAWAL,3240.0,6600.0,2
592,7,WITHDRAWAL,4880.0,4880.0,1
605,52,WITHDRAWAL,560.0,24560.0,4
610,249,WITHDRAWAL,1876.0,1876.0,1
624,56,WITHDRAWAL,8080.0,8080.0,1
626,120,WITHDRAWAL,3965.0,3965.0,1
627,417,WITHDRAWAL,14.6,14.6,1
635,7,WITHDRAWAL,13900.0,13900.0,1
643,458,WITHDRAWAL,9586.0,9586.0,1
652,356,WITHDRAWAL,16900.0,16900.0,1
694,10,WITHDRAWAL,2640.0,2654.6,2
697,512,WITHDRAWAL,800.0,800.0,1
703,480,WITHDRAWAL,14.6,14.6,1
709,200,WITHDRAWAL,6100.0,6100.0,1
722,103,WITHDRAWAL,14.6,14.6,1
726,131,WITHDRAWAL,14.6,14.6,1
728,95,WITHDRAWAL,14.6,614.6,2
736,48,WITHDRAWAL,15700.0,22997.0,3
741,429,WITHDRAWAL,2600.0,2614.6,2
744,19,WITHDRAWAL,4800.0,4800.0,1
755,210,WITHDRAWAL,7534.0,7534.0,1
756,210,WITHDRAWAL,2640.0,4800.0,2
760,65,WITHDRAWAL,14.6,26814.6,2
764,103,WITHDRAWAL,1500.0,1500.0,1
767,179,WITHDRAWAL,7615.0,13289.0,3
779,7,WITHDRAWAL,4880.0,4880.0,1
780,242,WITHDRAWAL,14.6,14.6,1
786,263,WITHDRAWAL,22800.0,22830.0,2
790,200,WITHDRAWAL,3600.0,3600.0,1
803,458,WITHDRAWAL,9586.0,9586.0,1
813,37,WITHDRAWAL,5500.0,5500.0,1
822,503,WITHDRAWAL,1000.0,16214.6,5
825,512,WITHDRAWAL,14.6,14.6,1
826,503,WITHDRAWAL,2900.0,5000.0,2
833,103,WITHDRAWAL,14.6,19614.6,2
836,108,WITHDRAWAL,8300.0,8300.0,1
839,458,WITHDRAWAL,9586.0,9586.0,1
840,48,WITHDRAWAL,14.6,14.6,1
850,137,WITHDRAWAL,3464.0,3464.0,1
851,200,WITHDRAWAL,11600.0,11600.0,1
866,257,WITHDRAWAL,14.6,14.6,1
867,414,WITHDRAWAL,10700.0,10700.0,1
873,131,WITHDRAWAL,14.6,14.6,1
874,355,WITHDRAWAL,900.0,3827.0,2
887,329,WITHDRAWAL,14.6,14.6,1
899,249,WITHDRAWAL,1876.0,1876.0,1
905,453,WITHDRAWAL,20200.0,20200.0,1
907,120,WITHDRAWAL,3965.0,3965.0,1
912,329,WITHDRAWAL,23300.0,26410.0,2
919,356,WITHDRAWAL,7800.0,7800.0,1
921,417,WITHDRAWAL,30700.0,30700.0,1
931,412,WITHDRAWAL,14.6,14.6,1
940,56,WITHDRAWAL,14.6,14.6,1
948,418,WITHDRAWAL,14.6,14.6,1
959,348,WITHDRAWAL,22100.0,22100.0,1
971,211,WITHDRAWAL,6600.0,6614.6,2
989,84,WITHDRAWAL,12452.0,13652.0,2
991,137,WITHDRAWAL,787.0,28051.0,3
997,500,WITHDRAWAL,14.6,14.6,1
1004,226,WITHDRAWAL,14.6,14.6,1
1027,221,WITHDRAWAL,11800.0,11800.0,1
1029,65,WITHDRAWAL,2400.0,5801.0,2
1031,399,WITHDRAWAL,7500.0,17100.0,3
1036,268,WITHDRAWAL,900.0,900.0,1
1043,282,WITHDRAWAL,2280.0,3480.0,2
1068,500,WITHDRAWAL,15300.0,15300.0,1
1070,56,WITHDRAWAL,8080.0,8080.0,1
1075,52,WITHDRAWAL,12000.0,12000.0,1
1090,487,WITHDRAWAL,900.0,900.0,1
1095,453,WITHDRAWAL,20900.0,20900.0,1
1105,217,WITHDRAWAL,3459.0,3459.0,1
1107,103,WITHDRAWAL,1500.0,1500.0,1
1116,7,WITHDRAWAL,22100.0,22100.0,1
1126,420,WITHDRAWAL,2300.0,9492.0,2
1130,455,WITHDRAWAL,14.6,14.6,1
1133,304,WITHDRAWAL,2700.0,8700.0,2
1143,526,WITHDRAWAL,10700.0,11300.0,2
1146,336,WITHDRAWAL,4600.0,4600.0,1
1149,137,WITHDRAWAL,27400.0,27400.0,1
1156,447,WITHDRAWAL,13300.0,13314.6,2
1162,458,WITHDRAWAL,9586.0,9586.0,1
1165,458,WITHDRAWAL,1400.0,1400.0,1
1183,272,WITHDRAWAL,7454.0,7454.0,1
1185,37,WITHDRAWAL,3100.0,3100.0,1
1187,453,WITHDRAWAL,7012.0,10612.0,2
1194,108,WITHDRAWAL,14.6,14.6,1
1199,56,WITHDRAWAL,8080.0,16880.0,2
1205,526,WITHDRAWAL,960.0,960.0,1
1206,440,WITHDRAWAL,14.6,1574.6,2
1211,137,WITHDRAWAL,22800.0,23587.0,2
1215,286,WITHDRAWAL,12300.0,17340.0,2
1216,414,WITHDRAWAL,11100.0,11100.0,1
1217,95,WITHDRAWAL,21000.0,21000.0,1
1218,399,WITHDRAWAL,14.6,14.6,1
1243,170,WITHDRAWAL,3200.0,3200.0,1
1244,226,WITHDRAWAL,14.6,14.6,1
1255,512,WITHDRAWAL,1900.0,1900.0,1
1263,65,WITHDRAWAL,13200.0,13200.0,1
1268,348,WITHDRAWAL,500.0,500.0,1
1270,137,WITHDRAWAL,3464.0,3464.0,1
1271,37,WITHDRAWAL,14.6,7214.6,2
1279,133,WITHDRAWAL,2400.0,2430.0,2
1303,329,WITHDRAWAL,8500.0,12402.0,3
1305,303,WITHDRAWAL,2000.0,5100.0,2
1339,189,WITHDRAWAL,4244.0,4604.0,2
1340,503,WITHDRAWAL,2200.0,2200.0,1
1351,131,WITHDRAWAL,6904.0,11204.0,3
1372,286,WITHDRAWAL,13900.0,13900.0,1
1391,418,WITHDRAWAL,700.0,3000.0,2
1393,131,WITHDRAWAL,1900.0,1914.6,2
1395,169,WITHDRAWAL,14.6,14.6,1
1403,56,WITHDRAWAL,8080.0,8080.0,1
1408,424,WITHDRAWAL,1100.0,3600.0,2
1425,420,WITHDRAWAL,14.6,3914.6,2
1459,200,WITHDRAWAL,6800.0,6800.0,1
1466,355,WITHDRAWAL,2927.0,2927.0,1
1476,210,WITHDRAWAL,7534.0,19274.0,3
1483,189,WITHDRAWAL,14.6,14.6,1
1485,108,WITHDRAWAL,4803.0,4803.0,1
1494,303,WITHDRAWAL,3803.0,3803.0,1
1497,170,WITHDRAWAL,14.6,12814.6,2
1500,503,WITHDRAWAL,4200.0,4200.0,1
1515,242,WITHDRAWAL,14.6,14.6,1
1517,210,WITHDRAWAL,2640.0,2654.6,2
1535,414,WITHDRAWAL,4500.0,9220.0,3
1536,303,WITHDRAWAL,3500.0,7340.0,2
1552,412,WITHDRAWAL,8727.0,8727.0,1
1554,268,WITHDRAWAL,6000.0,6000.0,1
1555,458,WITHDRAWAL,9700.0,12300.0,3
1574,447,WITHDRAWAL,3480.0,3480.0,1
1577,249,WITHDRAWAL,2200.0,2200.0,1
1583,336,WITHDRAWAL,14.6,14.6,1
1589,480,WITHDRAWAL,24200.0,24200.0,1
1592,19,WITHDRAWAL,2700.0,2700.0,1
1603,170,WITHDRAWAL,14.6,13614.6,2
1645,285,WITHDRAWAL,14900.0,19580.0,2
1650,179,WITHDRAWAL,30.0,30.0,1
1651,405,WITHDRAWAL,2800.0,7876.0,3
1653,253,WITHDRAWAL,14.6,14.6,1
1658,56,WITHDRAWAL,14.6,14.6,1
1667,399,WITHDRAWAL,14.6,14.6,1
1674,304,WITHDRAWAL,10500.0,27567.0,3
1681,429,WITHDRAWAL,1000.0,2600.0,2
1687,189,WITHDRAWAL,14.6,14.6,1
1693,500,WITHDRAWAL,14.6,14.6,1
1704,133,WITHDRAWAL,5123.0,19623.0,3
1715,131,WITHDRAWAL,14.6,14.6,1
1720,526,WITHDRAWAL,8300.0,8300.0,1
1734,120,WITHDRAWAL,54800.0,54800.0,1
1753,120,WITHDRAWAL,30.0,30.0,1
1760,169,WITHDRAWAL,4975.0,4975.0,1
1766,108,WITHDRAWAL,10500.0,14500.0,3
1767,51,WITHDRAWAL,14.6,14.6,1
1770,122,WITHDRAWAL,14.6,2214.6,2
1784,179,WITHDRAWAL,7615.0,13289.0,3
1788,226,WITHDRAWAL,14.6,14.6,1
1800,32,WITHDRAWAL,13400.0,13400.0,1
1801,420,WITHDRAWAL,4900.0,11700.0,2
1802,221,WITHDRAWAL,19000.0,19000.0,1
1804,399,WITHDRAWAL,19000.0,19000.0,1
1805,179,WITHDRAWAL,378.0,378.0,1
1812,268,WITHDRAWAL,14.6,14.6,1
1822,424,WITHDRAWAL,4591.0,4591.0,1
1830,242,WITHDRAWAL,26700.0,26700.0,1
1831,169,WITHDRAWAL,4975.0,4975.0,1
1836,286,WITHDRAWAL,9848.0,9848.0,1
1838,120,WITHDRAWAL,5500.0,5530.0,2
1855,491,WITHDRAWAL,4700.0,4714.6,2
1859,221,WITHDRAWAL,14.6,9814.6,3
1878,336,WITHDRAWAL,14.6,14.6,1
1886,48,WITHDRAWAL,10600.0,11629.0,2
1888,191,WITHDRAWAL,36300.0,36300.0,1
1907,336,WITHDRAWAL,4067.0,4067.0,1
1924,184,WITHDRAWAL,22200.0,22200.0,1
1926,103,WITHDRAWAL,2100.0,2614.6,3
1930,226,WITHDRAWAL,14.6,14.6,1
1933,249,WITHDRAWAL,1800.0,8978.0,3
1940,263,WITHDRAWAL,6145.0,6145.0,1
1956,211,WITHDRAWAL,14.6,14.6,1
1971,414,WITHDRAWAL,5520.0,5520.0,1
1985,412,WITHDRAWAL,8727.0,8727.0,1
1989,491,WITHDRAWAL,14.6,14.6,1
2007,242,WITHDRAWAL,14.6,14.6,1
2010,248,WITHDRAWAL,29700.0,29700.0,1
2026,285,WITHDRAWAL,17600.0,20974.6,3
2031,84,WITHDRAWAL,12452.0,16352.0,2
2033,447,WITHDRAWAL,5400.0,8880.0,2
2039,120,WITHDRAWAL,30.0,30.0,1
2041,526,WITHDRAWAL,1320.0,4800.0,2
2043,184,WITHDRAWAL,800.0,3600.0,2
2049,169,WITHDRAWAL,3500.0,3500.0,1
2057,282,WITHDRAWAL,14.6,14.6,1
