,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
8,437,WITHDRAWAL,12000.0,12000.0,1
11,426,WITHDRAWAL,10400.0,10400.0,1
25,73,WITHDRAWAL,2300.0,8194.6,3
43,73,WITHDRAWAL,14.6,14.6,1
44,361,WITHDRAWAL,1388.0,23029.0,3
65,395,WITHDRAWAL,14.6,14.6,1
76,327,WITHDRAWAL,3805.0,11557.0,3
77,346,WITHDRAWAL,5760.0,5760.0,1
87,59,WITHDRAWAL,3900.0,10785.0,3
88,497,WITHDRAWAL,3405.0,3405.0,1
90,344,WITHDRAWAL,7700.0,14122.0,3
94,477,WITHDRAWAL,2660.0,10160.0,2
102,73,WITHDRAWAL,4480.0,4480.0,1
103,73,WITHDRAWAL,14.6,14.6,1
113,497,WITHDRAWAL,3405.0,15905.0,2
116,2,WITHDRAWAL,7266.0,11266.0,2
130,361,WITHDRAWAL,3600.0,3600.0,1
138,274,WITHDRAWAL,14.6,15614.6,2
149,446,WITHDRAWAL,14.6,14.6,1
153,289,WITHDRAWAL,14.6,14.6,1
157,327,WITHDRAWAL,3805.0,7057.0,2
159,176,WITHDRAWAL,22700.0,22700.0,1
167,100,WITHDRAWAL,14.6,14.6,1
170,73,WITHDRAWAL,14.6,14.6,1
197,535,WITHDRAWAL,14.6,14.6,1
199,510,WITHDRAWAL,30.0,30.0,1
201,426,WITHDRAWAL,886.0,886.0,1
211,365,WITHDRAWAL,14.6,6914.6,2
217,361,WITHDRAWAL,1941.0,1941.0,1
220,34,WITHDRAWAL,6070.0,6572.0,2
231,176,WITHDRAWAL,4564.0,29800.0,4
238,334,WITHDRAWAL,14.6,14.6,1
242,437,WITHDRAWAL,3106.0,3106.0,1
245,477,WITHDRAWAL,2300.0,2300.0,1
261,289,WITHDRAWAL,5745.0,21266.0,3
273,510,WITHDRAWAL,2442.0,5885.0,3
275,497,WITHDRAWAL,16700.0,16700.0,1
276,188,WITHDRAWAL,10100.0,10100.0,1
277,477,WITHDRAWAL,14.6,14.6,1
283,2,WITHDRAWAL,3000.0,3000.0,1
297,535,WITHDRAWAL,62.0,62.0,1
306,172,WITHDRAWAL,5160.0,5160.0,1
318,437,WITHDRAWAL,14.6,14.6,1
323,344,WITHDRAWAL,4739.0,7239.0,2
332,2,WITHDRAWAL,7266.0,7266.0,1
340,289,WITHDRAWAL,5745.0,8366.0,2
350,477,WITHDRAWAL,2660.0,13960.0,2
354,497,WITHDRAWAL,14.6,14.6,1
358,2,WITHDRAWAL,6300.0,9672.7,2
359,327,WITHDRAWAL,3252.0,3252.0,1
362,494,WITHDRAWAL,7300.0,7507.0,2
365,188,WITHDRAWAL,10300.0,12220.0,2
378,34,WITHDRAWAL,6070.0,6572.0,2
381,73,WITHDRAWAL,6061.0,23861.0,2
388,73,WITHDRAWAL,6061.0,6061.0,1
393,280,WITHDRAWAL,3334.0,8028.0,2
