,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
37,396,WITHDRAWAL,2040.0,2760.0,2
92,173,WITHDRAWAL,6256.0,13356.0,2
118,396,WITHDRAWAL,261.0,261.0,1
150,96,WITHDRAWAL,644.0,2830.0,3
163,173,WITHDRAWAL,6256.0,12576.0,3
175,396,WITHDRAWAL,308.0,5553.0,2
208,96,WITHDRAWAL,2140.0,2186.0,2
343,96,WITHDRAWAL,2140.0,2186.0,2
353,71,WITHDRAWAL,14.6,14.6,1
386,173,WITHDRAWAL,8600.0,8600.0,1
421,96,WITHDRAWAL,8900.0,14946.0,3
424,173,WITHDRAWAL,12900.0,12900.0,1
462,71,WITHDRAWAL,1602.0,2570.0,2
488,96,WITHDRAWAL,14.6,3314.6,2
527,96,WITHDRAWAL,46.0,46.0,1
629,96,WITHDRAWAL,644.0,30630.0,4
642,396,WITHDRAWAL,1920.0,2249.0,3
734,173,WITHDRAWAL,6256.0,6256.0,1
886,173,WITHDRAWAL,9500.0,9500.0,1
902,173,WITHDRAWAL,14.6,14.6,1
943,71,WITHDRAWAL,22600.0,22614.6,2
1030,71,WITHDRAWAL,15800.0,15800.0,1
1087,71,WITHDRAWAL,14.6,1314.6,2
1091,173,WITHDRAWAL,14.6,14.6,1
1106,71,WITHDRAWAL,960.0,960.0,1
1209,396,WITHDRAWAL,261.0,261.0,1
1225,71,WITHDRAWAL,778.0,3348.0,3
1257,96,WITHDRAWAL,908.0,3692.0,3
1265,71,WITHDRAWAL,778.0,3348.0,3
1276,396,WITHDRAWAL,14.6,14.6,1
1309,71,WITHDRAWAL,1602.0,2570.0,2
1314,71,WITHDRAWAL,1011.0,5799.0,5
1327,71,WITHDRAWAL,13100.0,13100.0,1
1456,96,WITHDRAWAL,17400.0,25200.0,2
1457,396,WITHDRAWAL,2040.0,6694.6,3
1474,96,WITHDRAWAL,46.0,46.0,1
1533,96,WITHDRAWAL,644.0,2830.0,3
1559,396,WITHDRAWAL,3600.0,3600.0,1
